test,date,bucket,rank_ic_12m,mean_next_12m,n
attention_vs_momentum_ic,2011-10-31,2,-0.2857142857142857,-0.0012881764954717405,13
attention_vs_momentum_ic,2011-10-31,3,0.18681318681318684,-0.05449910773227385,14
attention_vs_momentum_ic,2011-11-30,1,-0.28571428571428564,-0.03599803425563037,15
attention_vs_momentum_ic,2011-11-30,2,-0.2879120879120879,0.10384959181316514,14
attention_vs_momentum_ic,2011-11-30,3,0.5252747252747253,0.06685628187463614,14
attention_vs_momentum_ic,2012-01-31,1,-0.09999999999999999,-0.07446905170180192,16
attention_vs_momentum_ic,2012-01-31,2,-0.049999999999999996,-0.05024475157404445,15
attention_vs_momentum_ic,2012-01-31,3,-0.16785714285714282,0.032810647671969694,15
attention_vs_momentum_ic,2012-02-29,1,0.05357142857142857,-0.042074648424004435,15
attention_vs_momentum_ic,2012-02-29,2,-0.4197802197802198,-0.09703041154751066,14
attention_vs_momentum_ic,2012-02-29,3,-0.09999999999999999,-0.025308856333768153,15
attention_vs_momentum_ic,2012-04-30,1,0.07647058823529412,-0.10582072179958435,16
attention_vs_momentum_ic,2012-04-30,2,-0.2285714285714285,-0.05001007437190424,15
attention_vs_momentum_ic,2012-04-30,3,0.0035714285714285704,0.10562207802653338,15
attention_vs_momentum_ic,2012-05-31,1,-0.20357142857142854,0.02108840910330208,15
attention_vs_momentum_ic,2012-05-31,2,-0.2923076923076923,-0.010088002860288372,14
attention_vs_momentum_ic,2012-05-31,3,-0.2351648351648352,0.2840303006936876,14
attention_vs_momentum_ic,2012-07-31,1,-0.6,-0.016651132362392223,14
attention_vs_momentum_ic,2012-07-31,2,0.16043956043956045,-0.05964296148517688,14
attention_vs_momentum_ic,2012-07-31,3,-0.04615384615384615,0.2595801804500925,14
attention_vs_momentum_ic,2012-08-31,1,-0.3571428571428571,0.021665842115366447,15
attention_vs_momentum_ic,2012-08-31,2,0.3054945054945055,-0.08568632967214743,14
attention_vs_momentum_ic,2012-08-31,3,0.007142857142857141,0.13967529139648077,15
attention_vs_momentum_ic,2012-10-31,1,0.3186813186813187,0.07811404865261415,14
attention_vs_momentum_ic,2012-10-31,2,-0.6043956043956044,-0.0188841936715848,14
attention_vs_momentum_ic,2012-10-31,3,-0.1912087912087912,0.11305419127721021,14
attention_vs_momentum_ic,2012-11-30,1,0.3802197802197802,0.10284814373060787,14
attention_vs_momentum_ic,2012-11-30,2,-0.1956043956043956,-0.09249869650946266,14
