date,path,return,holdings,banned_share
2010-08-31,expand,0.05969338628715194,15,0.41488712629652225
2010-09-30,contract,0.051495544998581444,24,0.248934875228241
2010-09-30,expand,0.041901482648364685,13,0.41509433962264153
2010-10-29,contract,-0.02350872045316712,28,0.25
2010-10-29,expand,-0.023651625971835833,12,0.4162621359223301
2010-11-30,contract,0.01667578821355679,29,0.24909310761789602
2010-11-30,expand,0.03666285798105268,17,0.4153567110036276
2010-12-30,contract,-0.013015451874614878,27,0.2501510574018127
2010-12-30,expand,-0.012932301848653904,17,0.4169184290030212
2011-01-31,contract,-0.012934234513430358,29,0.25075346594333936
2011-01-31,expand,-0.004743202151095066,20,0.41832429174201324
2011-02-28,contract,0.06255573130199163,29,0.25195429945880937
2011-02-28,expand,0.07077969658870463,22,0.4197233914612147
2011-03-31,contract,0.016341104273782877,25,0.2539298669891173
2011-03-31,expand,-0.004272153251634794,18,0.42321644498186217
2011-04-29,contract,-0.022215273650184258,28,0.25332527206771466
2011-04-29,expand,-0.022123740214745388,23,0.42200725513905685
2011-05-31,contract,0.005843618218134781,27,0.2498494882600843
2011-05-31,expand,0.009666691308194785,17,0.41661649608669477
2011-06-30,contract,0.09823984219036828,28,0.24820143884892087
2011-06-30,expand,0.08135808566864802,17,0.4136690647482014
2011-07-29,contract,-0.09049182873021328,27,0.24865831842576028
2011-07-29,expand,-0.08969543072116727,23,0.41383422778771617
2011-08-31,contract,-0.051286954987389326,25,0.24836601307189543
2011-08-31,expand,-0.0646630568648198,13,0.41414141414141414
2011-09-30,contract,0.04834497679589188,26,0.24807578448786263
2011-09-30,expand,0.046205034721662756,19,0.4132622853759621
2011-10-31,contract,0.01854730603495061,27,0.24719101123595505
2011-10-31,expand,0.03101087924416866,18,0.4115907746895328
2011-11-30,contract,0.016302325482628336,28,0.24718435091879076
2011-11-30,expand,0.008694523812900362,22,0.41197391819798457
2011-12-29,contract,0.09043823821498807,28,0.24836988737403676
2011-12-29,expand,0.12069503457958301,19,0.41315945465323056
2012-01-31,contract,0.05689636871962671,28,0.24866785079928952
2012-01-31,expand,0.05296980688313027,24,0.4144464179988159
2012-02-29,contract,0.010302156649692954,28,0.24676850763807284
2012-02-29,expand,-0.008914594793117877,23,0.4112808460634548
2012-03-30,contract,-0.011455151221787748,27,0.24720423778693348
2012-03-30,expand,-0.02220360926731858,20,0.4120070629782225
2012-04-30,contract,-0.035484473650925975,29,0.24734982332155478
2012-04-30,expand,-0.03749305999818702,22,0.4122497055359246
2012-05-31,contract,0.01599382442673127,25,0.24660766961651917
2012-05-31,expand,0.007656670380528202,21,0.4112094395280236
2012-06-29,contract,-0.0021443288876254484,27,0.24601769911504426
2012-06-29,expand,0.0056597170340917935,22,0.41002949852507375
2012-07-31,contract,0.06333039821349695,24,0.24413145539906103
2012-07-31,expand,0.04763268206863454,21,0.4072769953051643
2012-08-31,contract,0.05063282219507872,25,0.24414519906323184
2012-08-31,expand,0.009084777773401212,14,0.4063231850117096
2012-09-28,contract,-0.01660474296613041,30,0.24486200822078685
2012-09-28,expand,-0.027898786358518505,23,0.40751614797416325
2012-10-31,contract,0.011964947535837163,25,0.24411764705882352
2012-10-31,expand,0.016983781579122333,15,0.40705882352941175
2012-11-30,contract,0.0005371845753307418,29,0.24381625441696114
2012-11-30,expand,0.010265029373649022,21,0.40636042402826855
2012-12-28,contract,0.003443248229445325,29,0.24453632604843473
2012-12-28,expand,0.000966958059808726,21,0.4075605434140579
2013-01-31,contract,0.03911165826561638,28,0.24482554701360143
2013-01-31,expand,0.0352954644712983,24,0.4080425783560024
2013-02-28,contract,0.041295027048444725,27,0.24466824644549762
2013-02-28,expand,0.018919076839825327,19,0.4075829383886256
2013-03-29,contract,0.051798900290489905,28,0.24466824644549762
2013-03-29,expand,0.04183461179580119,19,0.4075829383886256
